title,year,venue,cited_by,type,arxiv,doi,authors,abstract,topical
NuNER: Entity Recognition Encoder Pre-training via LLM-Annotated Data,2024,,29,article,,10.18653/v1/2024.emnlp-main.660,"Sergei Bogdanov, Alexandre Constantin, Timothée Bernard et al.","Large Language Models (LLMs) have shown impressive abilities in data annotation, opening the way for new approaches to solve classic NLP problems.In this paper, we show how to use LLMs to create NuNER, a compact language representation model specialized in the Named Entity Recognition (NER) task.NuNER can be fine-tuned to solve downstream NER problems in a data-efficient way, outperforming similar-sized foundation models in the few-shot regime and competing with much larger LLMs.We find that the",True
ChatGPT to Replace Crowdsourcing of Paraphrases for Intent Classification: Higher Diversity and Comparable Model Robustness,2023,,25,article,,10.18653/v1/2023.emnlp-main.117,"Ján Čegiň, Jakub Šimko, Peter Brusilovsky","&lt;p&gt;The emergence of generative large language models (LLMs) raises the question: what will be its impact on crowdsourcing? Traditionally, crowdsourcing has been used for acquiring solutions to a wide variety of human-intelligence tasks, including ones involving text generation, modification or evaluation. For some of these tasks, models like ChatGPT can potentially substitute human workers. In this study, we investigate whether this is the case for the task of paraphrase generation for int",True
Qualitative Coding with GPT-4,2025,Journal of Learning Analytics,24,article,,10.18608/jla.2025.8575,"Xiner Liu, Andres Felipe Zambrano, Ryan S. Baker et al.","This study explores the potential of the large language model GPT-4 as an automated tool for qualitative data analysis by educational researchers, exploring which techniques are most successful for different types of constructs. Specifically, we assess three different prompt engineering strategies — Zero-shot, Few-shot, and Few-shot with contextual information — as well as the use of embeddings. We do so in the context of qualitatively coding three distinct educational datasets: Algebra I semi-p",True
Quantifying the Persona Effect in LLM Simulations,2024,,23,article,,10.18653/v1/2024.acl-long.554,"Tiancheng Hu, Nigel Collier","Large language models (LLMs) have shown remarkable promise in simulating human language and behavior.This study investigates how integrating persona variables-demographic, social, and behavioral factors-impacts LLMs' ability to simulate diverse perspectives.We find that persona variables account for <10% variance in annotations in existing subjective NLP datasets.Nonetheless, incorporating persona variables via prompting in LLMs provides modest but statistically significant improvements.Persona ",True
LLM-Based Agents for Tool Learning: A Survey,2025,Data Science and Engineering,22,article,,10.1007/s41019-025-00296-9,"Weikai Xu, Chengrui Huang, Shen Gao et al.","Abstract Human beings capable of making and using tools can accomplish tasks far beyond their innate abilities, and this paradigm of integration with tools may not be limited to humans themselves. Recently, the large language model (LLM) has demonstrated immense potential across various fields with its unique planning and reasoning abilities. However, there are still many challenges beyond its capabilities due to deficiencies in its training data and inherent illusions. Thus, integrating LLMs an",True
Designing for Human-Agent Alignment: Understanding what humans want from their agents,2024,,20,preprint,2404.04289,10.1145/3613905.3650948,"Nitesh Goyal, Minsuk Chang, Michael Terry","Our ability to build autonomous agents that leverage Generative AI continues to increase by the day. As builders and users of such agents it is unclear what parameters we need to align on before the agents start performing tasks on our behalf. To discover these parameters, we ran a qualitative empirical research study about designing agents that can negotiate during a fictional yet relatable task of selling a camera online. We found that for an agent to perform the task successfully, humans/user",True
Using Large Language Models to Enhance Exercise Recommendations and Physical Activity in Clinical and Healthy Populations: Scoping Review,2025,JMIR Medical Informatics,18,review,,10.2196/59309,"Xiangxun Lai, Jiacheng Chen, Yue Lai et al.","Background: Regular exercise recommendations (ERs) and physical activity (PA) are crucial for the prevention and management of chronic diseases. However, creating effective exercise programs demand substantial time and specialized expertise from both medical and sports professionals. Large language models (LLMs), such as ChatGPT, offer a promising solution by helping create personalized ERs. While LLMs show potential, their use in exercise planning remains in its early stages and requires furthe",True
Simulating Social Media Using Large Language Models to Evaluate Alternative News Feed Algorithms,2023,arXiv (Cornell University),18,preprint,2310.05984,10.48550/arxiv.2310.05984,"Petter Törnberg, Диляра Валеева, Justus Uitermark et al.",Social media is often criticized for amplifying toxic discourse and discouraging constructive conversations. But designing social media platforms to promote better conversations is inherently challenging. This paper asks whether simulating social media through a combination of Large Language Models (LLM) and Agent-Based Modeling can help researchers study how different news feed algorithms shape the quality of online conversations. We create realistic personas using data from the American Nation,True
ChatGPT vs. Crowdsourcing vs. Experts: Annotating Open-Domain Conversations with Speech Functions,2023,,17,article,,10.18653/v1/2023.sigdial-1.23,"Lidiia Ostyakova, Veronika Smilga, Kseniia Petukhova et al.","This paper deals with the task of annotating open-domain conversations with speech functions. We propose a semi-automated method for annotating dialogs following the topic-oriented, multi-layered taxonomy of speech functions with the use of hierarchical guidelines using Large Language Models. These guidelines comprise simple questions about the topic and speaker change, sentence types, pragmatic aspects of the utterance, and examples that aid untrained annotators in understanding the taxonomy. W",True
"A Survey on Large Language Models for Critical Societal Domains: Finance, Healthcare, and Law",2024,arXiv (Cornell University),16,preprint,2405.01769,10.48550/arxiv.2405.01769,"Zhiyu Zoey Chen, Jing Ma, Xinlu Zhang et al.","In the fast-evolving domain of artificial intelligence, large language models (LLMs) such as GPT-3 and GPT-4 are revolutionizing the landscapes of finance, healthcare, and law: domains characterized by their reliance on professional expertise, challenging data acquisition, high-stakes, and stringent regulatory compliance. This survey offers a detailed exploration of the methodologies, applications, challenges, and forward-looking opportunities of LLMs within these high-stakes sectors. We highlig",True
MEGAnno+: A Human-LLM Collaborative Annotation System,2024,,16,article,,10.18653/v1/2024.eacl-demo.18,"Hannah Kim, Kushan Mitra, Rafael Li Chen et al.","Hannah Kim, Kushan Mitra, Rafael Li Chen, Sajjadur Rahman, Dan Zhang. Proceedings of the 18th Conference of the European Chapter of the Association for Computational Linguistics: System Demonstrations. 2024.",True
The role of GPT in promoting inclusive higher education for people with various learning disabilities: a review,2025,PeerJ Computer Science,15,review,,10.7717/peerj-cs.2400,"Thippa Reddy Gadekallu, Gokul Yenduri, Rajesh Kaluri et al.","The generative pre-trained transformer (GPT) is a notable breakthrough in the field of artificial intelligence, as it empowers machines to effectively comprehend and engage in interactions with humans. The GPT exhibits the capacity to enhance inclusivity and accessibility for students with learning disabilities in the context of higher education, hence potentially facilitating substantial advancements in the field. GPT can provide personalized and diverse solutions that successfully cater to the",True
Large Language Model-Based Agents for Software Engineering: A Survey,2024,arXiv (Cornell University),13,preprint,2409.02977,10.48550/arxiv.2409.02977,"Junwei Liu, Kaixin Wang, Yixuan Chen et al.","The recent advance in Large Language Models (LLMs) has shaped a new paradigm of AI agents, i.e., LLM-based agents. Compared to standalone LLMs, LLM-based agents substantially extend the versatility and expertise of LLMs by enhancing LLMs with the capabilities of perceiving and utilizing external resources and tools. To date, LLM-based agents have been applied and shown remarkable effectiveness in Software Engineering (SE). The synergy between multiple agents and human interaction brings further ",True
GPT-4 as an X data annotator: Unraveling its performance on a stance classification task,2024,PLoS ONE,12,article,,10.1371/journal.pone.0307741,"Chandreen Ravihari Liyanage, Ravi Gokani, Vijay Mago","Data annotation in NLP is a costly and time-consuming task, traditionally handled by human experts who require extensive training to enhance the task-related background knowledge. Besides, labeling social media texts is particularly challenging due to their brevity, informality, creativity, and varying human perceptions regarding the sociocultural context of the world. With the emergence of GPT models and their proficiency in various NLP tasks, this study aims to establish a performance baseline",True
LATA: A Pilot Study on LLM-Assisted Thematic Analysis of Online Social Network Data Generation Experiences,2025,Proceedings of the ACM on Human-Computer Interaction,12,article,,10.1145/3711022,"Qile Wang, Moath Erqsous, Kenneth E. Barner et al.","Large Language Models (LLMs) have gained attention in research and industry, aiming to streamline processes and enhance text analysis performance. Thematic Analysis (TA), a prevalent qualitative method for analyzing interview content, often requires at least two human experts to review and analyze data. This study demonstrates the feasibility of LLM-Assisted Thematic Analysis (LATA) using GPT-4 and Gemini. Specifically, we conducted semi-structured interviews with 14 researchers to gather insigh",True
The Problems of LLM-generated Data in Social Science Research,2024,KTH Publication Database DiVA (KTH Royal Institute of Technology),10,article,,10.6092/issn.1971-8853/19576,"Luca Rossi, Katherine Harrison, Irina Shklovski","Beyond being used as fast and cheap annotators for otherwise complex classification tasks, LLMs have seen a growing adoption for generating synthetic data for social science and design research. Researchers have used LLM-generated data for data augmentation and prototyping, as well as for direct analysis where LLMs acted as proxies for real human subjects. LLM-based synthetic data build on fundamentally different epistemological assumptions than previous synthetically generated data and are just",True
Where AI and Design Meet - Designers’ Perceptions of AI Tools,2024,Nordic Conference on Human-Computer Interaction,10,article,,10.1145/3679318.3685388,"Matilda Kalving, Ashley Colley, Jonna Häkkilä","The creative industries are at a significant turning point, blurring the lines between human innovation and machine efficiency due to the advent of AI tools for design. This research addresses the design community’s reaction to generative AI’s rapid ascent. Involving both professionals and students, this paper uses a survey (n=49), focus groups (n=6), and interviews (n=6), to explore the perspectives on AI’s role in creative workflows, revealing a mix of enthusiasm and dread for its potential to",True
LLMs as Workers in Human-Computational Algorithms? Replicating Crowdsourcing Pipelines with LLMs,2023,arXiv (Cornell University),9,preprint,2307.10168,10.48550/arxiv.2307.10168,"Tongshuang Wu, Haiyi Zhu, Maya Albayrak et al.","LLMs have shown promise in replicating human-like behavior in crowdsourcing tasks that were previously thought to be exclusive to human abilities. However, current efforts focus mainly on simple atomic tasks. We explore whether LLMs can replicate more complex crowdsourcing pipelines. We find that modern LLMs can simulate some of crowdworkers' abilities in these ``human computation algorithms,'' but the level of success is variable and influenced by requesters' understanding of LLM capabilities, ",True
A technological construction of society: Comparing GPT‐4 and human respondents for occupational evaluation in the UK,2024,British Journal of Industrial Relations,9,article,,10.1111/bjir.12840,"Paweł Gmyrek, Christoph Lutz, Gemma Newlands","Abstract Despite initial research about the biases and perceptions of large language models (LLMs), we lack evidence on how LLMs evaluate occupations, especially in comparison to human evaluators. In this paper, we present a systematic comparison of occupational evaluations by GPT‐4 with those from an in‐depth, high‐quality and recent human respondents survey in the UK. Covering the full ISCO‐08 occupational landscape, with 580 occupations and two distinct metrics (prestige and social value), ou",True
Assessing Cognitive and Social Awareness among Group Members in AI-assisted Collaboration,2024,,9,article,,10.1145/3701571.3701582,"Sander de Jong, Joel Wester, Tim Schrills et al.","Successful collaboration in computer-mediated teams requires awareness among group members of each other’s knowledge, skills, and goals. Large Language Models (LLMs) can play a mediating role in establishing and maintaining this awareness among group members. In an in-situ study, we explored the impact of an LLM-based chatbot on cognitive and social group awareness through a distributed text-based group task. We instructed participants (N = 48) to complete a travel-planning task in sixteen group",True
Evaluation of Code Generation for Simulating Participant Behavior in Experience Sampling Method by Iterative In-Context Learning of a Large Language Model,2024,Proceedings of the ACM on Human-Computer Interaction,9,article,,10.1145/3661143,"Alireza Khanshan, Pieter Van Gorp, Panos Markopoulos","The Experience Sampling Method (ESM) is commonly used to understand behaviors, thoughts, and feelings in the wild by collecting self-reports. Sustaining sufficient response rates, especially in long-running studies remains challenging. To avoid low response rates and dropouts, experimenters rely on their experience, proposed methodologies from earlier studies, trial and error, or the scarcely available participant behavior data from previous ESM protocols. This approach often fails in finding th",True
Investigating the increase of violent speech in Incel communities with human-guided GPT-4 prompt iteration,2024,Frontiers in Social Psychology,9,article,,10.3389/frsps.2024.1383152,"Daniel Matter, Miriam Schirmer, N. A. Grinberg et al.","This study investigates the prevalence of violent language on incels.is . It evaluates GPT models (GPT-3.5 and GPT-4) for content analysis in social sciences, focusing on the impact of varying prompts and batch sizes on coding quality for the detection of violent speech. We scraped over 6.9 M posts from incels.is and categorized a random sample into non-violent, explicitly violent, and implicitly violent content. Two human coders annotated 3, 028 posts, which we used to tune and evaluate GPT-3.5",True
Challenges and Opportunities of LLM-Based Synthetic Personae and Data in HCI,2024,,8,article,,10.1145/3678884.3681826,"Mirjana Prpa, Giovanni Maria Troiano, Bingsheng Yao et al.","Synthetic personae and data powered by artificial intelligence (AI) are emerging in many HCI areas, including education and training, gaming, and piloting research studies. Recently, Large Language Models (LLMs) have shown promise for synthetic AI personae, experimenting with human and social simulacra and producing synthetic data. This presents challenges and opportunities for extending HCI research via LLMs and AI. In this proposed workshop, we engage HCI researchers interested in working with",True
Exploring the synergy of human and AI-driven approaches in thematic analysis for qualitative educational research,2024,Journal of Applied Learning & Teaching,8,article,,10.37074/jalt.2024.7.2.32,Soroush Sabbaghan,"This paper investigates the integration of Generative Artificial Intelligence (GenAI), particularly Large Language Models (LLMs) such as GPT-4, into qualitative analysis in educational research. Utilizing TRACER (Transcript Analysis and Concept Extraction Resource), a GenAI-driven tool, the study evaluated its efficiency, reproducibility, and synergy with human analytical expertise. The research demonstrated that TRACER significantly streamlined thematic analysis, efficiently handled large data ",True
Random Silicon Sampling: Simulating Human Sub-Population Opinion Using a Large Language Model Based on Group-Level Demographic Information,2024,arXiv (Cornell University),7,preprint,2402.18144,10.48550/arxiv.2402.18144,"Seungjong Sun, Eungu Lee, Dongyan Nan et al.","Large language models exhibit societal biases associated with demographic information, including race, gender, and others. Endowing such language models with personalities based on demographic data can enable generating opinions that align with those of humans. Building on this idea, we propose ""random silicon sampling,"" a method to emulate the opinions of the human population sub-group. Our study analyzed 1) a language model that generates the survey responses that correspond with a human group",True
Exploring the Human-LLM Synergy in Advancing Theory-driven Qualitative Analysis,2024,arXiv (Cornell University),7,preprint,2405.05758,10.48550/arxiv.2405.05758,"Han Meng, Yitian Yang, Fu, Wayne et al.","Qualitative coding is a demanding yet crucial research method in the field of Human-Computer Interaction (HCI). While recent studies have shown the capability of large language models (LLMs) to perform qualitative coding within theoretical frameworks, their potential for collaborative human-LLM discovery and generation of new insights beyond initial theory remains underexplored. To bridge this gap, we proposed CHALET, a novel approach that harnesses the power of human-LLM partnership to advance ",True
Participant Interactions with Artificial Intelligence: Using Large Language Models to Generate Research Materials for Surveys and Experiments,2025,Journal of Business and Psychology,7,article,,10.1007/s10869-025-10035-6,"Tara S. Behrend, Richard N. Landers","Abstract Researchers are increasingly exploring the use of large language models (LLMs) to develop materials for surveys and experiments. However, clear guidance on effective implementation remains limited. In this paper, we propose a decision-making framework comprising five use cases for integrating large language models into psychological survey and experimental methods: (1) LLM as research assistant; (2) LLM as adaptive content creator; (3) LLM as external resource; (4) LLM as conversation p",True
GPT-4 as a Twitter Data Annotator: Unraveling Its Performance on a Stance Classification Task,2023,,6,preprint,,10.36227/techrxiv.24143706.v1,"Chandreen Liyanage, Ravi Gokani, Vijay Mago","&lt;p&gt;This study utilizes a new labeled dataset of Twitter posts discussing the stance classification regarding abortion legalization in the USA. The main aim of the study is to evaluate the GPT-4 model's capability as a social media text annotator. We assess the performance of three prompt-based GPT-4 approaches using a sample of the dataset that exhibits perfect agreement among human annotators. The tweets are categorized into three labels: 'favor,' 'against,' or 'none,' representing their ",True
Can Large Language Models Serve as Data Analysts? A Multi-Agent Assisted Approach for Qualitative Data Analysis,2024,arXiv (Cornell University),6,preprint,2402.01386,10.48550/arxiv.2402.01386,"Zeeshan Rasheed, Muhammad Waseem, Aakash Ahmad et al.","Context: Manual qualitative data analysis is time-intensive and can compromise validity and replicability, affecting analysis design, implementation, and reporting. Large Language Models (LLMs) enable human-bot collaboration in Software Engineering (SE), but their potential for qualitative data analysis in SE remains largely unexplored. Objective: The objective of this study is to design and develop an LLM-based multi-agent system that synergizes human decision support with AI to automate variou",True
RACER: An LLM-powered Methodology for Scalable Analysis of Semi-structured Mental Health Interviews,2024,,6,article,,10.18653/v1/2024.nlp4science-1.8,"Satpreet Singh, Kevin Jiang, Kanchan Bhasin et al.","Semi-structured interviews (SSIs) are a commonly employed data-collection method in healthcare research, offering in-depth qualitative insights into subject experiences.Despite their value, manual analysis of SSIs is notoriously time-consuming and labor-intensive, in part due to the difficulty of extracting and categorizing emotional responses, and challenges in scaling human evaluation for large populations.In this study, we develop RACER, a Large Language Model (LLM) based expertguided automat",True
GhostWriter: Augmenting Collaborative Human-AI Writing Experiences Through Personalization and Agency,2024,arXiv (Cornell University),5,preprint,2402.08855,10.48550/arxiv.2402.08855,"Catherine Vance Yeh, Gonzalo Ramos, Rachel Ng et al.","Large language models (LLMs) have become ubiquitous in providing different forms of writing assistance to different writers. However, LLM-powered writing systems often fall short in capturing the nuanced personalization and control needed to effectively support users -- particularly for those who lack experience with prompt engineering. To address these challenges, we introduce GhostWriter, an AI-enhanced design probe that enables users to exercise enhanced agency and personalization during writ",True
Leveraging large language models for thematic analysis: a case study in the charity sector,2025,AI & Society,5,article,,10.1007/s00146-025-02487-4,"Chuanchi Wen, Paul Clough, Rachel Paton et al.","Abstract This study explores how large language models (LLMs) can support deductive and inductive thematic coding in real-life contexts, balancing AI-driven efficiency with essential human oversight. Using three datasets from Tearfund, a UK-based Christian charity, we propose a dual-role human–LLM collaborative framework where the LLM functions as an initial annotator and a validator. In the deductive phase, GPT-4o and GPT-4o-mini were compared against human coders. GPT-4o achieved a substantial",True
Collecting Qualitative Data at Scale with Large Language Models: A Case Study,2023,arXiv (Cornell University),4,preprint,2309.10187,10.48550/arxiv.2309.10187,"Cuevas, Alejandro, Jennifer V. Scurrell, Eva Maxfield Brown et al.","Chatbots have shown promise as tools to scale qualitative data collection. Recent advances in Large Language Models (LLMs) could accelerate this process by allowing researchers to easily deploy sophisticated interviewing chatbots. We test this assumption by conducting a large-scale user study (n=399) evaluating 3 different chatbots, two of which are LLM-based and a baseline which employs hard-coded questions. We evaluate the results with respect to participant engagement and experience, establis",True
"A survey on the impacts of recommender systems on users, items, and human-AI ecosystems",2024,arXiv (Cornell University),4,preprint,2407.01630,10.48550/arxiv.2407.01630,"Luca Pappalardo, Salvatore Citraro, Giuliano Cornacchia et al.","Recommendation systems and assistants (in short, recommenders) influence through online platforms most actions of our daily lives, suggesting items or providing solutions based on users' preferences or requests. This survey systematically reviews, categories, and discusses the impact of recommenders in four human-AI ecosystems -- social media, online retail, urban mapping and generative AI ecosystems. Its scope is to systematise a fast-growing field in which terminologies employed to classify me",True
How do Generative Language Models Answer Opinion Polls?,2024,,4,preprint,,10.31235/osf.io/r2pnb,"Julien Boelaert, Samuel Coavoux, Étienne Ollion et al.","Generative AI is increasingly presented as a potential substitute for humans, including as human research subjects in various disciplines. Yet there is no scientific consensus on how closely these in-silico clones could represent their human counterparts. While some defend the use of these “synthetic users,” others point towards the biases in the responses provided by the LLMs. Through an experiment using survey questionnaires, we demonstrate that these latter critics are right to be wary of usi",True
QuaLLM: An LLM-based Framework to Extract Quantitative Insights from Online Forums,2024,arXiv (Cornell University),3,preprint,2405.05345,10.48550/arxiv.2405.05345,"Varun Nagaraj Rao, Eesha Agarwal, Samantha Dalal et al.","Online discussion forums provide crucial data to understand the concerns of a wide range of real-world communities. However, the typical qualitative and quantitative methodologies used to analyze those data, such as thematic analysis and topic modeling, are infeasible to scale or require significant human effort to translate outputs to human readable forms. This study introduces QuaLLM, a novel LLM-based framework to analyze and extract quantitative insights from text data on online forums. The ",True
Close to Human-Level Agreement: Tracing Journeys of Violent Speech in Incel Posts with GPT-4-Enhanced Annotations,2024,arXiv (Cornell University),3,preprint,2401.02001,10.48550/arxiv.2401.02001,"Daniel Matter, Miriam Schirmer, N. A. Grinberg et al.","This study investigates the prevalence of violent language on incels.is. It evaluates GPT models (GPT-3.5 and GPT-4) for content analysis in social sciences, focusing on the impact of varying prompts and batch sizes on coding quality for the detection of violent speech. We scraped over 6.9M posts from incels.is and categorized a random sample into non-violent, explicitly violent, and implicitly violent content. Two human coders annotated 3,028 posts, which we used to tune and evaluate GPT-3.5 an",True
The Siren Song of LLMs: How Users Perceive and Respond to Dark Patterns in Large Language Models,2026,,3,article,2509.10830,10.1145/3772318.3791149,"Yike Shi, Qing Xiao, Qing Hu et al.","Large language models can influence users through conversation, creating new forms of dark patterns that differ from traditional UX dark patterns. We define LLM dark patterns as manipulative or deceptive behaviors enacted in dialogue. Drawing on prior work and AI incident reports, we outline a diverse set of categories with real-world examples. Using them, we conducted a scenario-based study where participants (N=34) compared manipulative and neutral LLM responses. Our results reveal that recogn",True
Investigation of the Inter-Rater Reliability between Large Language Models and Human Raters in Qualitative Analysis,2025,,3,article,,10.1119/perc.2025.pr.borse,"Nikhil Borse, Ravishankar Chatta Subramaniam, N. Sanjay Rebello","Qualitative analysis is typically limited to small datasets because it is time-intensive.Moreover, a second human rater is required to ensure reliable findings.Artificial intelligence tools may replace human raters if we demonstrate high reliability compared to human ratings.We investigated the inter-rater reliability of state-of-theart Large Language Models (LLMs), ChatGPT-4o and ChatGPT-4.5-preview, in rating audio transcripts coded manually.We explored prompts and hyperparameters to optimize ",True
From Voices to Validity: Leveraging Large Language Models (LLMs) for Textual Analysis of Policy Stakeholder Interviews,2025,AERA Open,3,article,,10.1177/23328584251374595,"Alex Liu, Sun Min","Stakeholder feedback is essential for policymakers to evaluate and develop effective policies, but traditional qualitative analysis methods are often labor-intensive and time-consuming. This study investigates the use of Large Language Models (LLMs) like GPT-4 Turbo (GPT-4) with human expertise to analyze stakeholder interviews regarding K–12 education policy in a U.S. state. The research employed a mixed-methods approach where human experts developed a codebook and iterative prompts for GPT-4 t",True
Towards algorithmic framing analysis: expanding the scope by using LLMs,2025,Journal Of Big Data,3,article,,10.1186/s40537-025-01092-y,"Xianwen Kuang, Jun Liu, Haiyang Zhang et al.","Framing analysis, an extensively used, multi-disciplinary social science research method, requires substantial manpower and time to code and uncover human-level understanding of story contexts. However, recent advances in deep learning have led to a qualitative jump in algorithm-assisted methods, with large language models (LLMs) like BERT and GPT going beyond surface characteristics to infer the semantic properties of a text. In this study, we explore the application of the BERT for natural lan",True
Exploring Inductive and Deductive Qualitative Coding with AI: Investigating Inter-Rater Reliability between Large Language Model and Human Coders,2025,AHFE international,2,article,,10.54941/ahfe1006232,"H. Zhang, Chuhao Wu, Jingyi Xie et al.","Qualitative research provides valuable insights into complex human phenomena, but its coding processes are often time-intensive and labor-intensive. The advent of Large Language Models (LLMs) has introduced new opportunities to streamline qualitative analysis. This study investigates the application of LLMs in both inductive and deductive coding tasks using real-world datasets, assessing their ability to complement traditional coding methods. To address challenges such as privacy concerns, promp",True
United in Diversity? Contextual Biases in LLM-Based Predictions of the 2024 European Parliament Elections,2024,MADOC (University of Mannheim),1,preprint,2409.09045,10.48550/arxiv.2409.09045,"Leah von der Heyde, Anna‐Carolina Haensch, Alexander Wenz et al.","""Synthetic samples"" based on large language models (LLMs) have been argued to serve as efficient alternatives to surveys of humans, assuming that their training data includes information on human attitudes and behavior. However, LLM-synthetic samples might exhibit bias, for example due to training data and fine-tuning processes being unrepresentative of diverse contexts. Such biases risk reinforcing existing biases in research, policymaking, and society. Therefore, researchers need to investigat",True
Can a zero-shot learning Large Language Model code complex interview data?,2024,European Journal of Public Health,1,article,,10.1093/eurpub/ckae144.1121,"Elias Balt, Salim Salmi, Sandjai Bhulai et al.","Abstract Background Psychological autopsy is essential to establish theories, explore trends and identify previously unexplored psychosocial risk factors in suicide research. However, qualitative research has been scrutinized for being prone to interpretation bias, problems with accuracy, challenges to reproducibility, and is very time- and cost intensive. The current study aimed to investigate if a Large Language Model can achieve sufficient agreement with a researcher in the deductive coding o",True
Text Chunking for Document Classification for Urban System Management using Large Language Models,2025,ArXiv.org,1,preprint,2504.00274,10.48550/arxiv.2504.00274,"Joshua Rodriguez, Om Sanan, Guillermo Vizarreta-Luna et al.","Urban systems are managed using complex textual documentation that need coding and analysis to set requirements and evaluate built environment performance. This paper contributes to the study of applying large-language models (LLM) to qualitative coding activities to reduce resource requirements while maintaining comparable reliability to humans. Qualitative coding and assessment face challenges like resource limitations and bias, accuracy, and consistency between human evaluators. Here we repor",True
A six-phase AI-expert framework for evaluating policy coherence in sustainable tourism,2025,Information Technology & Tourism,1,article,,10.1007/s40558-025-00352-0,"Hrvoje Carić, Ante Mandić, Ivan Sever","This study introduces a six-phase AI–expert evaluation framework, grounded in computational interpretivism, to assess the coherence between national and international sustainable tourism policies, using the Croatian Strategy for Sustainable Tourism as a case study. Leveraging Anthropic Claude 3.5 Sonnet, a state-of-the-art generative AI model, the framework integrates natural language processing, vector-based similarity search, and expert validation to extract key policy areas, formulate evaluat",True
A game-changer for qualitative research: artificial intelligence as an efficient tool for analyzing student conceptions about microplastics,2026,Frontiers in Education,1,article,,10.3389/feduc.2026.1770878,"Justus Braune, Cathérine Conradty, Franz X. Bogner et al.",Qualitative content analysis of learners’ conceptions is due to large datasets time-consuming. This study examined the potential of a Large Language Model (LLM) to support and accelerate qualitative content analysis without compromising validity. Written responses from 180 bachelor students at two German universities to four open-ended questions on microplastics were analysed. ChatGPT was used to inductively develop categories and to assign responses. Two human expert coders conducted the same p,True
GPT Models for Text-Annotation: An Empirical Exploration in Public Policy Research,2024,,1,preprint,,10.31235/osf.io/6fpgj,"Alexander Churchill, Shamitha Pichika, Chengxin Xu et al.","Text annotation, the practice of labeling text following a predetermined scheme, is essential to qualitative researcher in public policy. Despite its importance utility, text annotation for policy research faces challenges of high labor and time costs, particularly when the size of the qualitative data is enormous. Recent Developments in large language models (LLMs), specifically models with generative pre-trained transformers (GPTs), shows a potential approach that may alleviate the burden of m",True
Assessing the Reliability of Large Language Models for Deductive Qualitative Coding: A Comparative Study of ChatGPT Interventions,2025,ArXiv.org,1,preprint,2507.14384,,"A Hila, Elliott Hauser","In this study, we investigate the use of large language models (LLMs), specifically ChatGPT, for structured deductive qualitative coding. While most current research emphasizes inductive coding applications, we address the underexplored potential of LLMs to perform deductive classification tasks aligned with established human-coded schemes. Using the Comparative Agendas Project (CAP) Master Codebook, we classified U.S. Supreme Court case summaries into 21 major policy domains. We tested four int",True
Human vs. LLM-Based Thematic Analysis for Digital Mental Health Research: Proof-of-Concept Comparative Study,2025,ArXiv.org,1,preprint,2507.08002,10.48550/arxiv.2507.08002,"Karisa Parkington, Bazen Gashaw Teferra, Marianne Rouleau-Tang et al.","Thematic analysis provides valuable insights into participants' experiences through coding and theme development, but its resource-intensive nature limits its use in large healthcare studies. Large language models (LLMs) can analyze text at scale and identify key content automatically, potentially addressing these challenges. However, their application in mental health interviews needs comparison with traditional human analysis. This study evaluates out-of-the-box and knowledge-base LLM-based th",True
Temperature and Persona Shape LLM Agent Consensus With Minimal Accuracy Gains in Qualitative Coding,2025,ArXiv.org,1,preprint,2507.11198,10.48550/arxiv.2507.11198,"Conrad Borchers, Bahar shahrokhian, Francesco Balzan et al.","Large Language Models (LLMs) enable new possibilities for qualitative research at scale, including annotation and qualitative coding of educational data. While LLM-based multi-agent systems (MAS) can emulate human coding workflows, their benefits over single LLM agents for coding remain poorly understood. To that end, we conducted an experimental study of how persona and temperature of component agents of a MAS shapes consensus-building and coding accuracy for dialog segments. LLMs were prompted",True
An Empirical Investigation into the Utility of Large Language Models in Open-Ended Survey Data Categorization,2025,,1,preprint,,10.31235/osf.io/wv6tk_v2,Chris Soria,"Can social scientists use large language models (LLMs) to code open-ended survey responses across complexity levels. This study uses the UC Berkeley Social Networks Study as a test case, comparing GPT-4o, Claude Sonnet 3.7, Llama 3.1 variant Sonnar Large, and Mistral Large against human annotators, we find the two proprietary models outperform open-source alternatives, achieving 97% accuracy on straightforward questions and 88-91% on complex interpretive tasks. However, open-source models still ",True
From Individual to Society: A Survey on Social Simulation Driven by Large Language Model-based Agents,2026,ACM Computing Surveys,1,preprint,2412.03563,10.1145/3800683,"Xinyi Mou, Xuanwen Ding, Qi He et al.","Traditional sociological research often relies on human participation, which, though effective, is expensive, challenging to scale, and with ethical concerns. Recent advancements in large language models (LLMs) highlight their potential to simulate human behavior, enabling the replication of individual responses and facilitating studies on many interdisciplinary studies. In this article, we conduct a comprehensive survey of this field, illustrating the recent progress in simulation driven by LLM",True
